#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2010,1,12,21,0,220,4.1,6.7,99,99,99,999,9999,-0.9,999,999,99,99
2010,1,12,22,0,240,5.1,7.2,99,99,99,999,9999,-0.5,999,999,99,99
2010,1,12,23,0,230,7.7,10.3,99,99,99,999,9999,-1.4,999,999,99,99
2010,1,13,0,0,220,8.2,10.8,99,99,99,999,9999,-1.9,999,999,99,99
2010,1,13,1,0,210,6.2,7.2,99,99,99,999,9999,-2.8,999,999,99,99
2010,1,13,2,0,200,8.8,11.3,99,99,99,999,9999,-3.6,999,999,99,99
2010,1,13,3,0,200,8.8,10.3,99,99,99,999,9999,-4,999,999,99,99
2010,1,13,4,0,200,10.3,12.4,99,99,99,999,9999,-4.1,999,999,99,99
2010,1,13,5,0,200,11.3,13.4,99,99,99,999,9999,-4.8,999,999,99,99
2010,1,13,6,0,200,11.8,14.9,99,99,99,999,9999,-4.9,999,999,99,99
2010,1,13,7,0,210,10.3,11.8,99,99,99,999,9999,-5,999,999,99,99
2010,1,13,8,0,200,11.8,14.9,99,99,99,999,9999,-5.6,999,999,99,99
2010,1,13,9,15,190,11.3,13.4,99,99,99,999,9999,-5.8,999,999,99,99
2010,1,13,10,0,190,11.3,13.9,99,99,99,999,9999,-5.9,999,999,99,99
2010,1,13,11,0,190,12.4,15.4,99,99,99,999,9999,-6.1,999,999,99,99
2010,1,13,12,0,190,10.3,12.4,99,99,99,999,9999,-5.8,999,999,99,99
2010,1,13,13,0,190,10.3,12.9,99,99,99,999,9999,-5.8,999,999,99,99
2010,1,13,14,0,190,10.8,12.9,99,99,99,999,9999,-5.3,999,999,99,99
2010,1,13,15,0,190,9.8,11.8,99,99,99,999,9999,-4.1,999,999,99,99
2010,1,13,16,0,190,10.3,13.4,99,99,99,999,9999,-3.1,999,999,99,99
2010,1,13,17,0,190,9.3,11.3,99,99,99,999,9999,-2.1,999,999,99,99
2010,1,13,18,0,200,9.3,11.3,99,99,99,999,9999,-0.6,999,999,99,99
2010,1,13,19,0,200,9.8,11.8,99,99,99,999,9999,0.3,999,999,99,99
