IGRA,LAT,LON,Number,Name,Fir_date,Last_date,Other_Number
GGM00037395,42.267,42.633,116.0,KUTAISI ,116,1978,445
GGM00037409,42.133,43.033,148.0,SAKARA ,148,1977,126
GGM00037484,41.633,41.6,32.0,BATUMI ,32,1991,7554
GGM00037549,41.6833,44.95,467.0,TBILISI/NOVOALEXEYE ,467,2004,30083
GHM00065418,9.5,-0.85,173.0,TAMALE ,173,2008,1562
GHM00065467,4.883,-1.767,9.0,TAKORADI ,9,1979,135
GHM00065472,5.6,-0.1667,68.0,ACCRA/KOTOKA INTL ,68,1998,3276
GIM00008495,36.15,-5.35,3.0,GIBRALTAR ,3,2015,52600
GLM00004202,76.533,-68.75,77.0,PITUFFIK ,77,2006,50379
GLM00004220,68.7081,-52.8517,43.0,AASIAAT (EGEDESMINDE) ,43,2019,45333
GLM00004231,67.0,-50.8,46.0,KANGERLUSSUAK ,46,1950,3155
GLM00004270,61.1667,-45.4167,34.0,MITTARFIK NARSARSUAQ ,34,2019,54008
GLM00004310,81.6,-16.67,40.0,NORD ,40,1972,10981
GLM00004320,76.7694,-18.6681,11.0,DANMARKSHAVN ,11,2019,42201
GLM00004339,70.4844,-21.9511,70.0,ITTOQQORTOORMIIT ,70,2019,27327
GLM00004340,70.42,-21.97,22.0,KAP TOBIN ,22,1980,18381
GLM00004360,65.6111,-37.6367,54.0,TASIILAQ (AMMASSALIK) ,54,2019,44688
GLM00004417,72.5803,-38.4586,3255.0,GEOSUMMIT ,3255,2019,4996
GLXUA042705,63.43,-51.18,41.0,MARRAK POINT ,41,1948,353
GLXUAC03499,65.93,-36.68,57.0,IKATEQ ,57,1947,111
GLXUAC03509,77.23,-62.33,1704.0,THULE ,1704,1954,119
GLXUAE05845,71.17,-24.4,5.0,OSTSTATION ,5,1931,106
GMM00010034,54.6333,9.35,20.0,EGGEBECK ,20,1954,2824
GMM00010035,54.5333,9.55,47.0,SCHLESWIG ,47,2019,68170
GMM00010046,54.383,10.15,31.0,KEIL/HOLTENAU ,31,1994,15248
