#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2018,1,10,20,0,207,4.7,99,99,99,99,999,9999,8.5,999,999,99,99
2018,1,10,21,0,206,7.2,99,99,99,99,999,9999,9.6,999,999,99,99
2018,1,10,22,0,210,7.5,99,99,99,99,999,9999,10.9,999,999,99,99
2018,1,10,23,0,211,8.9,99,99,99,99,999,9999,11.7,999,999,99,99
2018,1,11,0,0,207,6.8,99,99,99,99,999,9999,11.8,999,999,99,99
2018,1,11,1,0,213,8.5,99,99,99,99,999,9999,12.7,999,999,99,99
2018,1,11,2,0,214,8.9,99,99,99,99,999,9999,13.2,999,999,99,99
2018,1,11,3,0,218,8.8,99,99,99,99,999,9999,13.5,999,999,99,99
2018,1,11,4,0,225,7,99,99,99,99,999,9999,13.7,999,999,99,99
2018,1,11,5,0,224,6.4,99,99,99,99,999,9999,13.9,999,999,99,99
2018,1,11,6,0,236,7.8,99,99,99,99,999,9999,14.2,999,999,99,99
2018,1,11,7,0,234,8.1,99,99,99,99,999,9999,14.2,999,999,99,99
2018,1,11,8,0,216,7.3,99,99,99,99,999,9999,14.5,999,999,99,99
2018,1,11,9,0,211,6.3,99,99,99,99,999,9999,14.5,999,999,99,99
2018,1,11,10,0,206,6.1,99,99,99,99,999,9999,13.9,999,999,99,99
2018,1,11,11,0,215,5.6,99,99,99,99,999,9999,14,999,999,99,99
2018,1,11,12,0,205,6.1,99,99,99,99,999,9999,14.2,999,999,99,99
2018,1,11,13,0,201,6.5,99,99,99,99,999,9999,14.5,999,999,99,99
2018,1,11,14,0,204,7.5,99,99,99,99,999,9999,15.2,999,999,99,99
2018,1,11,15,0,207,7.4,99,99,99,99,999,9999,14.7,999,999,99,99
2018,1,11,16,0,223,6.1,99,99,99,99,999,9999,14.9,999,999,99,99
2018,1,11,17,0,210,8.4,99,99,99,99,999,9999,15.2,999,999,99,99
2018,1,11,18,0,243,3.9,99,99,99,99,999,9999,13.8,999,999,99,99
2018,1,11,19,0,212,3.4,99,99,99,99,999,9999,15.4,999,999,99,99
2018,1,11,20,0,226,5.7,99,99,99,99,999,9999,16.1,999,999,99,99
2018,1,11,21,0,211,4.4,99,99,99,99,999,9999,15.7,999,999,99,99
2018,1,11,22,0,257,7.1,99,99,99,99,999,9999,15.1,999,999,99,99
2018,1,11,23,0,285,8.6,99,99,99,99,999,9999,10.3,999,999,99,99
2018,1,12,0,0,281,4.8,99,99,99,99,999,9999,4.7,999,999,99,99
2018,1,12,1,0,287,6.6,99,99,99,99,999,9999,1.6,999,999,99,99
2018,1,12,2,0,288,4.4,99,99,99,99,999,9999,-0.3,999,999,99,99
2018,1,12,3,0,292,2.9,99,99,99,99,999,9999,-2,999,999,99,99
2018,1,12,4,0,289,4,99,99,99,99,999,9999,-3.2,999,999,99,99
2018,1,12,5,0,287,3.9,99,99,99,99,999,9999,-3.9,999,999,99,99
2018,1,12,6,0,303,2.9,99,99,99,99,999,9999,-4.2,999,999,99,99
2018,1,12,7,0,340,5.5,99,99,99,99,999,9999,-4.3,999,999,99,99
2018,1,12,8,0,333,4.4,99,99,99,99,999,9999,-4.3,999,999,99,99
2018,1,12,9,0,330,5.3,99,99,99,99,999,9999,-4.6,999,999,99,99
2018,1,12,10,0,342,5.2,99,99,99,99,999,9999,-4.1,999,999,99,99
