DATE,lake_temp
2018-05-07,4.76
2018-05-08,4.96
2018-05-09,5.12
2018-05-10,5.19
2018-05-11,5.26
2018-05-12,5.43
2018-05-13,5.67
2018-05-14,5.94
2018-05-15,6.23
2018-05-16,6.5
2018-05-17,6.66
2018-05-18,6.73
2018-05-19,6.98
2018-05-20,7.34
2018-05-21,7.8
2018-05-22,8.26
2018-05-23,8.62
2018-05-24,9.14
2018-05-25,10.05
2018-05-26,10.96
2018-05-27,11.37
2018-05-28,11.5
2018-05-29,11.36
2018-05-30,11.01
2018-05-31,10.76
2018-06-01,10.2
2018-06-02,9.64
2018-06-03,9.25
2018-06-04,9.14
2018-06-05,9.18
2018-06-06,9.24
2018-06-07,9.54
2018-06-08,9.99
2018-06-09,10.56
2018-06-10,11.14
2018-06-11,11.61
2018-06-12,12.16
2018-06-13,12.51
2018-06-14,12.84
2018-06-15,13.26
2018-06-16,13.84
2018-06-17,14.49
2018-06-18,14.74
2018-06-19,14.64
2018-06-20,14.76
2018-06-21,14.87
