#YY,MM,DD,hh,mm,WDIR,WSPD,ATMP
2015,1,21,11,0,357,5.3,0.0
2015,1,21,12,0,348,5.9,0.1
2015,1,21,13,0,353,7.9,0.1
2015,1,21,14,0,3,7.9,0.1
2015,1,21,15,0,358,11.0,0.2
2015,1,21,17,0,347,7.5,0.0
2015,1,21,18,0,356,10.4,0.0
2015,1,21,19,0,354,7.6,0.0
2015,1,21,20,0,342,9.3,0.0
2015,1,21,21,0,354,13.7,-0.4
2015,1,21,22,0,349,11.1,-0.2
2015,1,21,23,0,332,11.8,-0.3
2015,1,22,0,0,338,8.5,-0.4
2015,1,22,1,0,359,8.9,-0.7
2015,1,22,2,0,341,11.3,-0.6
2015,1,22,3,0,334,6.3,-0.7
2015,1,22,4,0,326,8.5,-0.8
2015,1,22,5,0,350,4.0,-1.1
2015,1,22,6,0,197,0.9,-0.8
2015,1,22,7,0,294,5.6,-1.1
2015,1,22,8,0,278,3.8,-1.1
2015,1,22,9,0,301,3.9,-1.1
2015,1,22,10,0,295,3.1,-1.1
2015,1,22,11,0,327,3.7,-0.9
2015,1,22,12,0,278,6.2,-0.8
2015,1,22,13,0,319,6.5,-0.6
2015,1,22,14,0,314,6.4,-0.4
2015,1,22,15,0,291,8.8,-0.4
2015,1,22,16,0,299,4.6,-0.4
2015,1,22,17,0,307,5.7,-0.1
2015,1,22,18,0,261,3.1,-0.1
2015,1,22,19,0,282,3.6,0.0
2015,1,22,20,0,275,5.9,0.1
2015,1,22,21,0,293,8.7,0.0
2015,1,22,22,0,275,3.2,-0.1
2015,1,22,23,0,268,7.2,0.0
2015,1,23,0,0,227,4.6,0.1
2015,1,23,1,0,255,6.3,0.0
2015,1,23,2,0,220,10.0,-0.2
2015,1,23,3,0,201,10.3,-0.6
2015,1,23,4,0,287,6.0,-0.8
2015,1,23,5,0,232,7.8,-1.1
2015,1,23,6,0,210,11.0,-1.1
2015,1,23,7,0,230,11.5,-1.1
2015,1,23,8,0,234,15.3,-1.1
2015,1,23,9,0,226,5.6,-1.1
2015,1,23,10,0,258,2.7,-1.1
2015,1,23,11,0,242,3.8,-0.9
2015,1,23,12,0,224,7.4,-0.6
2015,1,23,13,0,267,4.8,-0.6
2015,1,23,14,0,249,8.0,-0.8
2015,1,23,15,0,213,10.3,-0.7
2015,1,23,16,0,222,3.5,-0.5
2015,1,23,17,0,241,5.7,-0.2
2015,1,23,18,0,216,12.4,0.0
2015,1,23,19,0,224,11.1,0.1
2015,1,23,20,0,218,5.5,0.1
2015,1,23,21,0,239,6.7,-0.2
2015,1,23,22,0,254,11.8,-0.6
2015,1,23,23,0,204,7.9,-0.6
2015,1,24,0,0,225,7.6,-0.6
2015,1,24,1,0,219,8.1,-0.8
2015,1,24,2,0,252,5.9,-0.8
2015,1,24,3,0,257,7.9,-0.3
2015,1,24,4,0,209,8.0,0.0
2015,1,24,5,0,218,6.0,0.3
2015,1,24,6,0,252,7.3,0.3
2015,1,24,7,0,266,11.0,0.2
2015,1,24,8,0,238,7.6,0.2
2015,1,24,9,0,271,5.3,0.0
2015,1,24,10,0,265,8.6,-0.1
2015,1,24,11,0,266,9.8,-0.1
2015,1,24,12,0,276,10.3,0.0
2015,1,24,13,0,260,12.1,0.3
2015,1,24,14,0,287,7.1,1.9
2015,1,24,15,0,271,7.0,3.2
